Your Shortcuts,快速選擇,
ChinesePatient,病人資料,
Time(in mins),時間(分鐘）,
"""Customer Provided Item"" cannot be Purchase Item also","""Customer Provided Item（客户提供的物品）"" 也不可被采购",
"""Customer Provided Item"" cannot have Valuation Rate","""Customer Provided Item（客户提供的物品）"" 不允许拥有 Valuation Rate（估值比率）",
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item",是固定资产不能被反选，因为存在资产记录的项目,
'Based On' and 'Group By' can not be same,“根据”和“分组依据”不能相同,
'Days Since Last Order' must be greater than or equal to zero,“ 最后的订单到目前的天数”必须大于或等于零,
'Entries' cannot be empty,“分录”不能为空,
'From Date' is required,“起始日期”是必需的,
'From Date' must be after 'To Date',“起始日期”必须早于'终止日期',
'Has Serial No' can not be 'Yes' for non-stock item,不能为非库存物料勾选'是否有序列号',
'Opening',“打开”,
'To Case No.' cannot be less than 'From Case No.','结束箱号'不能小于'开始箱号',
'To Date' is required,“结束日期”必需设置,
'Total',&#39;总&#39;,
'Update Stock' can not be checked because items are not delivered via {0},因为物料还未通过{0）交付，“库存更新'不能被勾选,
'Update Stock' cannot be checked for fixed asset sale,固定资产销售不能选择“更新库存”,
) for {0},）为{0},
1 exact match.,1完全匹配。,
90-Above,90以上,
A Customer Group exists with same name please change the Customer name or rename the Customer Group,同名的客户组已经存在，请更改客户姓名或重命名该客户组,
A Default Service Level Agreement already exists.,已存在默认服务级别协议。,
A Lead requires either a person's name or an organization's name,领导者需要一个人的姓名或组织的名称,
A customer with the same name already exists,已存在同名客户,
A question must have more than one options,一个问题必须有多个选项,
A qustion must have at least one correct options,Question必须至少有一个正确的选项,
A {0} exists between {1} and {2} (,{1}和{2}之间存在{0}（,
A4,A4,
API Endpoint,应用程序界面端点,
API Key,应用程序界面密钥,
Abbr can not be blank or space,缩写不能为空或空格,
Abbreviation already used for another company,缩写已用于另一家公司,
Abbreviation cannot have more than 5 characters,缩写不能超过5个字符,
Abbreviation is mandatory,缩写字段必填,
About the Company,关于公司,
About your company,关于贵公司,
Above,以上,
Absent,缺勤,
Academic Term,学期,
Academic Term: ,学术期限：,
Academic Year,学年,
Academic Year: ,学年：,
Accepted + Rejected Qty must be equal to Received quantity for Item {0},已接收+已拒收数量须等于物料{0}的已接收数量,
Access Token,访问令牌,
Accessable Value,可访问的值,
Account,科目,
Account Number,帐号,
Account Number {0} already used in account {1},已在帐户{1}中使用的帐号{0},
Account Pay Only,账户仅用于支付,
Account Type,科目类型,
Account Type for {0} must be {1},{0}的科目类型必须为{1},
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'",科目余额已设置为'贷方'，不能设置为'借方',
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'",账户余额已设置为'借方'，不能设置为'贷方',
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,科目{0}的科目号码不可用。 <br>请正确设置您的会计科目表。,
Account with child nodes cannot be converted to ledger,科目与子节点不能转换为分类账,
Account with child nodes cannot be set as ledger,科目与子节点不能被设置为分类帐,
Account with existing transaction can not be converted to group.,有交易的科目不能被转换为组。,
Account with existing transaction can not be deleted,有交易的科目不能被删除,
Account with existing transaction cannot be converted to ledger,有交易的科目不能被转换为分类账,
Account {0} does not belong to company: {1},科目{0}不属于公司：{1},
Account {0} does not belongs to company {1},科目{0}不属于公司{1},
Account {0} does not exist,科目{0}不存在,
Account {0} does not exists,科目{0}不存在,
Account {0} does not match with Company {1} in Mode of Account: {2},科目{0}与科目模式{2}中的公司{1}不符,
Account {0} has been entered multiple times,科目{0}已多次输入,
Account {0} is added in the child company {1},子公司{1}中添加了帐户{0},
Account {0} is frozen,科目{0}已冻结,
Account {0} is invalid. Account Currency must be {1},科目{0}状态为非激活。科目货币必须是{1},
Account {0}: Parent account {1} can not be a ledger,科目{0}的上级科目{1}不能是分类账,
Account {0}: Parent account {1} does not belong to company: {2},科目{0}的上级科目{1}不属于公司{2},
Account {0}: Parent account {1} does not exist,科目{0}的上级科目{1}不存在,
Account {0}: You can not assign itself as parent account,科目{0}不能是自己的上级科目,
Account: {0} can only be updated via Stock Transactions,科目{0}只能通过库存处理更新,
Account: {0} with currency: {1} can not be selected,帐号：{0}币种：{1}不能选择,
Accountant,会计,
Accounting,会计,
Accounting Entry for Asset,资产会计分录,
Accounting Entry for Stock,库存的会计分录,
Accounting Entry for {0}: {1} can only be made in currency: {2},会计分录为{0}：{1}只能在货币做：{2},
Accounting Ledger,会计分类帐,
Accounting journal entries.,会计记账日历分录。,
Accounts,会计,
Accounts Manager,会计经理,
Accounts Payable,应付帐款,
Accounts Payable Summary,应付帐款摘要,
Accounts Receivable,应收帐款,
Accounts Receivable Summary,应收账款汇总,
Accounts User,会计人员,
Accounts table cannot be blank.,账表不能为空。,
Accrual Journal Entry for salaries from {0} to {1},从{0}到{1}的薪金的应计手工凭证,
Accumulated Depreciation,累计折旧,
Accumulated Depreciation Amount,累计折旧额,
Accumulated Depreciation as on,作为累计折旧,
Accumulated Monthly,每月累计,
Accumulated Values,累积值,
Accumulated Values in Group Company,集团公司累计价值,
Achieved ({}),达到（{}）,
Action,行动,
Action Initialised,行动初始化,
Actions,操作,
Active,活动,
Activity Cost exists for Employee {0} against Activity Type - {1},显存员工活动费用{0}对应活动类型 -  {1},
Activity Cost per Employee,每个员工活动费用,
Activity Type,活动类型,
Actual Cost,实际成本,
Actual Delivery Date,实际交货日期,
Actual Qty,实际数量,
Actual Qty is mandatory,实际数量是必须项,
Actual Qty {0} / Waiting Qty {1},实际数量{0} /等待数量{1},
Actual Qty: Quantity available in the warehouse.,实际数量:仓库可用量。,
Actual qty in stock,实际库存数量,
Actual type tax cannot be included in Item rate in row {0},实际类型税不能被包含在连续的物料等级中{0},
Add,添加,
Add / Edit Prices,添加/编辑价格,
Add Comment,添加评论,
Add Customers,添加客户,
Add Employees,添加员工,
Add Item,新增,
Add Items,添加项目,
Add Leads,添加潜在客户,
Add Multiple Tasks,添加多个任务,
Add Row,添加行,
Add Sales Partners,添加销售合作伙伴,
Add Serial No,添加序列号,
Add Students,新增学生,
Add Suppliers,添加供应商,
Add Time Slots,添加时间空挡,
Add Timesheets,添加工时单,
Add Timeslots,添加时间空挡,
Add Users to Marketplace,将用户添加到市场,
Add a new address,添加新地址,
Add cards or custom sections on homepage,在主页上添加卡片或自定义栏目,
Add more items or open full form,添加更多项目或全开放形式,
Add notes,添加备注,
Add the rest of your organization as your users. You can also add invite Customers to your portal by adding them from Contacts,添加您的组织的其余部分用户。您还可以添加邀请客户到您的门户网站通过从联系人中添加它们,
Add to Details,添加到详细信息,
Add/Remove Recipients,添加/删除收件人,
Added,添加,
Added to details,添加到细节,
Added {0} users,添加了{0}个用户,
Additional Salary Component Exists.,额外的薪资组件存在。,
Address,地址,
Address Line 2,地址行2,
Address Name,地址名称,
Address Title,地址名称,
Address Type,地址类型,
Administrative Expenses,行政费用,
Administrative Officer,行政主任,
Administrator,管理员,
Admission,准入,
Admission and Enrollment,入学和入学,
Admissions for {0},对...的准入{0},
Admit,准入,
Admitted,准入,
Advance Amount,预付款总额,
Advance Payments,预付款,
Advance account currency should be same as company currency {0},预付科目货币应与公司货币{0}相同,
Advance amount cannot be greater than {0} {1},预付金额不能大于{0} {1},
Advertising,广告,
Aerospace,航天,
Against,针对,
Against Account,针对的科目,
Against Journal Entry {0} does not have any unmatched {1} entry,针对的手工凭证{0}没有不符合的{1}分录,
Against Journal Entry {0} is already adjusted against some other voucher,针对的手工凭证{0}已经被其他凭证调整,
Against Supplier Invoice {0} dated {1},针对的日期为{1}的供应商费用清单{0},
Against Voucher,针对的凭证,
Against Voucher Type,针对的凭证类型,
Age,账龄,
Age (Days),时间（天）,
Ageing Based On,账龄基于,
Ageing Range 1,账龄范围1,
Ageing Range 2,账龄范围2,
Ageing Range 3,账龄范围3,
Agriculture,农业,
Agriculture (beta),农业（测试版）,
Airline,航空公司,
All Accounts,所有科目,
All Addresses.,所有地址。,
All Assessment Groups,所有评估组,
All BOMs,全部物料清单,
All Contacts.,所有联系人。,
All Customer Groups,所有客户群组,
All Day,全日,
All Departments,所有部门,
All Healthcare Service Units,所有医疗服务单位,
All Item Groups,所有物料群组,
All Jobs,所有职位,
All Products,所有产品,
All Products or Services.,所有的产品或服务。,
All Student Admissions,所有学生入学,
All Supplier Groups,所有供应商组织,
All Supplier scorecards.,所有供应商记分卡。,
All Territories,所有的区域,
All Warehouses,所有仓库,
All communications including and above this shall be moved into the new Issue,包括及以上的所有通信均应移至新发行中,
All items have already been transferred for this Work Order.,所有物料已发料到该工单。,
All other ITC,所有其他ITC,
All the mandatory Task for employee creation hasn't been done yet.,尚未全部完成创建新员工时必要任务。,
Allocate Payment Amount,分配付款金额,
Allocated Amount,已核销金额,
Allocated Leaves,已分配休假天数,
Allocating leaves...,分配假期......,
Already record exists for the item {0},物料{0}已存在,
